# VITESS 3.7  Trajectories module EventsOut 1.15  VITESS-Format
# 2026-04-09 15:06:53  
# VITESS simulation   
#    TOF    lambda   count_rate    pos_x     pos_y    pos_z     dir_x     dir_y     dir_z  
  38.99949  3.86638   8.639e-14     0.4029   0.1883   0.2285   0.994624  0.101076  0.022514
   8.29819  0.82266   5.715e-12     0.1596   0.2556   0.3990  -0.401716  0.195242  0.894709
  28.54957  2.83072   2.424e-13    -0.0996  -0.0805  -0.4833  -0.977024 -0.212888  0.010103
  23.80597  2.36005   1.142e-12    -0.1757   0.4483   0.1347   0.052102  0.975697  0.212840
  25.94898  2.57285   5.827e-13     0.2018  -0.3828   0.2505   0.658142 -0.688007 -0.305770
  43.02332  4.26589   5.511e-14     0.1656   0.3755   0.2857   0.754113  0.568638 -0.328579
  42.59329  4.22282   3.916e-14     0.1122   0.2126   0.4384  -0.107151  0.180554  0.977711
  21.59205  2.14079   2.727e-12    -0.2933  -0.3768  -0.1482  -0.106403 -0.479632 -0.870995
  41.56030  4.12026   3.601e-14    -0.0315   0.3933  -0.3071  -0.525502  0.822836 -0.216305
  14.72465  1.45991   7.933e-12    -0.3326  -0.3621  -0.0908  -0.666194 -0.745728 -0.008723
  11.09607  1.09994   8.597e-12     0.1231   0.0683   0.4798   0.457789  0.116959  0.881334
  23.56096  2.33576   7.581e-13    -0.0406  -0.0232   0.4978  -0.837394 -0.362500  0.409103
  35.53133  3.52258   9.731e-14    -0.4980  -0.0183   0.0404  -0.978490  0.197646 -0.059106
  39.73509  3.93959   2.666e-13    -0.4811   0.0391   0.1303  -0.970259  0.010050 -0.241861
   9.23605  0.91575   4.906e-12     0.3556  -0.1109   0.3335   0.978107 -0.088976 -0.188121
  27.35470  2.71214   5.861e-13     0.4288  -0.1709  -0.1922   0.960200  0.243577 -0.136697
  17.38738  1.72383   3.407e-12     0.2233   0.4430  -0.0628   0.995698  0.064342  0.066670
  28.68063  2.84311   2.405e-13    -0.2473  -0.0274  -0.4337  -0.683517  0.189536 -0.704898
  23.85622  2.36527   1.174e-12     0.1700   0.4154  -0.2202   0.407280  0.899970 -0.155492
  37.41458  3.70977   1.778e-13    -0.2076   0.3994   0.2176  -0.633233 -0.049604  0.772370
  34.49633  3.41947   1.500e-13     0.0761  -0.2477  -0.4276   0.526008 -0.477075 -0.704070
  24.21150  2.40057   8.436e-13     0.1224  -0.3872   0.2917  -0.797119 -0.590212  0.127480
  41.19254  4.08422   6.751e-14     0.3273  -0.3739   0.0556   0.933530 -0.087451  0.347669
  24.93771  2.47253   1.179e-12    -0.3133   0.3341  -0.2005  -0.692033  0.715191 -0.097946
  18.07883  1.79230   5.261e-12    -0.3880  -0.1177  -0.2926   0.001481 -0.286308 -0.958136
  20.61436  2.04382   2.247e-12     0.3373  -0.3433  -0.1356   0.480207 -0.823452 -0.302206
